cut,scene_key,place,time,weather,situation,situation_en,remove,remove_en,structures,era,source
50,高級料亭,高級料亭の個室座敷と庭園,夜,,,,,,,現代日本（modern-day Japan）,conte:page_019.png;conf:medium
51,高級料亭,高級料亭の個室座敷と庭園,夜,,,,,,,現代日本（modern-day Japan）,conte:page_019.png;conf:medium
52,高級料亭,高級料亭の個室座敷と庭園,夜,,,,,,,現代日本（modern-day Japan）,conte:page_020.png;conf:low
53,高級料亭,高級料亭の個室座敷と庭園,夜,,,,,,,現代日本（modern-day Japan）,conte:page_020.png;conf:medium
54,高級料亭,高級料亭の個室座敷と庭園,夜,,その返答に対し。同。やれやれと答える,,,,,現代日本（modern-day Japan）,conte:page_021.png;conf:medium
55,高級料亭,高級料亭の個室座敷と庭園,夜,,,,,,,現代日本（modern-day Japan）,conte:page_021.png;conf:medium
56,高級料亭,高級料亭の個室座敷と庭園,夜,,,,,,,現代日本（modern-day Japan）,conte:page_021.png;conf:medium
57,高級料亭,高級料亭の個室座敷と庭園,夜,,,,,,,現代日本（modern-day Japan）,conte:page_022.png;conf:medium
58,高級料亭,高級料亭の個室座敷と庭園,夜,,,,,,,現代日本（modern-day Japan）,conte:page_022.png;conf:low
59,高級料亭,高級料亭の個室座敷と庭園,夜,,,,,,,現代日本（modern-day Japan）,conte:page_022.png;conf:low
60,高級料亭,高級料亭の個室座敷と庭園,夜,,,,,,,現代日本（modern-day Japan）,conte:page_022.png;conf:low
61,高級料亭,高級料亭の個室座敷と庭園,夜,,,,,,,現代日本（modern-day Japan）,conte:page_023.png;conf:medium
62,高級料亭,高級料亭の個室座敷と庭園,夜,,,,,,,現代日本（modern-day Japan）,conte:page_023.png;conf:medium
63,高級料亭,高級料亭の個室座敷と庭園,夜,,泣き終わり（out）,,,,,現代日本（modern-day Japan）,conte:page_024.png;conf:medium
64,料亭から移動,夜の繁華街の路地裏,夜,,,,,,,現代日本（modern-day Japan）,conte:page_024.png;conf:medium
65,料亭から移動,夜の繁華街の路地裏,夜,,,,,,,現代日本（modern-day Japan）,conte:page_025.png;conf:medium
66,料亭から移動,夜の繁華街の路地裏,夜,,,,,,,現代日本（modern-day Japan）,conte:page_025.png;conf:medium
67,料亭から移動,夜の繁華街の路地裏,夜,,,,,,,現代日本（modern-day Japan）,conte:page_025.png;conf:medium
68,料亭から移動,夜の繁華街の路地裏,夜,,,,,,,現代日本（modern-day Japan）,conte:page_026.png;conf:medium
69,料亭から移動,夜の繁華街の路地裏,夜,,,,,,,現代日本（modern-day Japan）,conte:page_026.png;conf:medium
70,料亭から移動,夜の繁華街の路地裏,夜,,,,,,,現代日本（modern-day Japan）,conte:page_026.png;conf:medium
71,料亭から移動,夜の繁華街の路地裏,夜,,,,,,,現代日本（modern-day Japan）,conte:page_027.png;conf:low
72,料亭から移動,夜の繁華街の路地裏,夜,,,,,,,現代日本（modern-day Japan）,conte:page_027.png;conf:low
73,料亭から移動,夜の繁華街の路地裏,夜,,,,,,,現代日本（modern-day Japan）,conte:page_027.png;conf:low
74,バー・カラオケ店,バー兼カラオケ店の店内,夜,,白カウンター、スライドして、並べられたお酒の Q.PAN,,,,,現代日本（modern-day Japan）,conte:page_028.png;conf:medium
75,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_028.png;conf:low
76,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_029.png;conf:medium
77,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_029.png;conf:medium
78,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_029.png;conf:low
79,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_030.png;conf:medium
80,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_030.png;conf:medium
81,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_031.png;conf:high
82,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_031.png;conf:medium
83,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_031.png;conf:medium
84,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_032.png;conf:medium
85,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_032.png;conf:low
86,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_032.png;conf:low
87,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_033.png;conf:low
88,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_033.png;conf:low
89,バー・カラオケ店,バー兼カラオケ店の店内,夜,,PAN,,,,,現代日本（modern-day Japan）,conte:page_034.png;conf:high
90,バー・カラオケ店,バー兼カラオケ店の店内,夜,,感じてる 大切なものを この肩に PAN,,,,,現代日本（modern-day Japan）,conte:page_034.png;conf:medium
91,バー・カラオケ店,バー兼カラオケ店の店内,夜,,リフレクション 歌う PAN UP,,,,,現代日本（modern-day Japan）,conte:page_034.png;conf:medium
92,バー・カラオケ店,バー兼カラオケ店の店内,夜,,仰おろし／歌う,,,,,現代日本（modern-day Japan）,conte:page_035.png;conf:medium
93,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_035.png;conf:medium
94,バー・カラオケ店,バー兼カラオケ店の店内,夜,,歌う つ人静 リフレイン PAN UP,,,,,現代日本（modern-day Japan）,conte:page_036.png;conf:medium
95,バー・カラオケ店,バー兼カラオケ店の店内,夜,,存在SU 歌う つ人静のDア リフレイン,,,,,現代日本（modern-day Japan）,conte:page_036.png;conf:medium
96,バー・カラオケ店,バー兼カラオケ店の店内,夜,,Dア リフレイン,,,,,現代日本（modern-day Japan）,conte:page_036.png;conf:medium
97,バー・カラオケ店,バー兼カラオケ店の店内,夜,,T.B. 引き,,,,,現代日本（modern-day Japan）,conte:page_037.png;conf:medium
98,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_037.png;conf:low
99,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_037.png;conf:low
100,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_038.png;conf:medium
101,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_038.png;conf:medium
102,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_038.png;conf:low
103,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_039.png;conf:low
104,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_039.png;conf:medium
105,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_040.png;conf:medium
106,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_040.png;conf:low
107,バー・カラオケ店,バー兼カラオケ店の店内,夜,,PANに合せて 前のライト大きく 動かして下… PAN T.B.,,,,,現代日本（modern-day Japan）,conte:page_040.png;conf:medium
108,バー・カラオケ店,バー兼カラオケ店の店内,夜,,魂)（PAN UP）,,,,,現代日本（modern-day Japan）,conte:page_041.png;conf:medium
109,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_041.png;conf:low
110,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_041.png;conf:low
111,バー・カラオケ店,バー兼カラオケ店の店内,夜,,ファースト／目所,,,,,現代日本（modern-day Japan）,conte:page_042.png;conf:medium
112,バー・カラオケ店,バー兼カラオケ店の店内,夜,,歌う／PAN UP,,,,,現代日本（modern-day Japan）,conte:page_042.png;conf:medium
113,バー・カラオケ店,バー兼カラオケ店の店内,夜,,スクリーンの歌詞,,,,,現代日本（modern-day Japan）,conte:page_042.png;conf:medium
114,バー・カラオケ店,バー兼カラオケ店の店内,夜,,見開.,,,,,現代日本（modern-day Japan）,conte:page_042.png;conf:medium
115,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_043.png;conf:low
116,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_043.png;conf:low
117,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_043.png;conf:low
118,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_043.png;conf:low
119,バー・カラオケ店,バー兼カラオケ店の店内,夜,,店内の看板,,,,,現代日本（modern-day Japan）,conte:page_044.png;conf:medium
120,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_044.png;conf:low
121,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_044.png;conf:low
122,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_044.png;conf:low
123,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_045.png;conf:low
124,バー・カラオケ店,バー兼カラオケ店の店内,夜,,PAN 初夏、すいな眠差し,,,,,現代日本（modern-day Japan）,conte:page_045.png;conf:medium
125,バー・カラオケ店,バー兼カラオケ店の店内,夜,,スポットライト 数珠つなぎでパッパッと フレ. PAN→,,,,,現代日本（modern-day Japan）,conte:page_046.png;conf:medium
126,バー・カラオケ店,バー兼カラオケ店の店内,夜,,照明反射補間 同じく点灯する,,,,,現代日本（modern-day Japan）,conte:page_046.png;conf:medium
127,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_046.png;conf:low
128,バー・カラオケ店,バー兼カラオケ店の店内,夜,,顔のみへ／ヘッドセットが見える。PAN,,,,,現代日本（modern-day Japan）,conte:page_047.png;conf:medium
129,バー・カラオケ店,バー兼カラオケ店の店内,夜,,ギターと手／スッと／マイクを上げる,,,,,現代日本（modern-day Japan）,conte:page_047.png;conf:medium
130,バー・カラオケ店,バー兼カラオケ店の店内,夜,,ここから ステージ 明るく。ライブ会場,,,,,現代日本（modern-day Japan）,conte:page_047.png;conf:medium
131,バー・カラオケ店,バー兼カラオケ店の店内,夜,,PAN 歌う限津(観客),,,,,現代日本（modern-day Japan）,conte:page_048.png;conf:medium
132,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_048.png;conf:low
133,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_048.png;conf:low
134,バー・カラオケ店,バー兼カラオケ店の店内,夜,,T.U. グラスを持つ手が震える 一気飲む,,,,,現代日本（modern-day Japan）,conte:page_049.png;conf:medium
135,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_049.png;conf:low
136,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_049.png;conf:medium
137,バー・カラオケ店,バー兼カラオケ店の店内,夜,,アップ 手 カッコイイ (左手カッコつけ) 半 QPAN,,,,,現代日本（modern-day Japan）,conte:page_050.png;conf:medium
138,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_050.png;conf:medium
139,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_050.png;conf:medium
140,バー・カラオケ店,バー兼カラオケ店の店内,夜,,PON ウデトロシ,,,,,現代日本（modern-day Japan）,conte:page_051.png;conf:medium
141,バー・カラオケ店,バー兼カラオケ店の店内,夜,,PAN R,,,,,現代日本（modern-day Japan）,conte:page_051.png;conf:medium
142,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_051.png;conf:low
143,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_052.png;conf:medium
144,バー・カラオケ店,バー兼カラオケ店の店内,夜,,バッと暗転。,,,,,現代日本（modern-day Japan）,conte:page_052.png;conf:medium
145,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_052.png;conf:low
146,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_053.png;conf:medium
147,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_054.png;conf:medium
148,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_054.png;conf:low
149,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_054.png;conf:medium
150,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_054.png;conf:low
151,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_055.png;conf:medium
152,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_055.png;conf:low
153,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_055.png;conf:medium
154,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_055.png;conf:medium
155,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_056.png;conf:medium
156,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_056.png;conf:medium
157,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_056.png;conf:low
158,バー・カラオケ店,バー兼カラオケ店の店内,夜,,PAN／爆炎の中 ギロリとにらむ クラーケンの目,,,,,現代日本（modern-day Japan）,conte:page_056.png;conf:medium
159,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_057.png;conf:medium
160,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_057.png;conf:low
161,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_058.png;conf:medium
162,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_058.png;conf:medium
163,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_058.png;conf:low
164,バー・カラオケ店,バー兼カラオケ店の店内,夜,,その周り／ドアノブにかかっているCLOSEDの札,,,,,現代日本（modern-day Japan）,conte:page_058.png;conf:medium
165,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_058.png;conf:low
166,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_059.png;conf:high
167,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_059.png;conf:high
168,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_060.png;conf:medium
169,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_060.png;conf:medium
170,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_060.png;conf:medium
171,バー・カラオケ店,バー兼カラオケ店の店内,夜,,立ち上る。PAN T.B.,,,,,現代日本（modern-day Japan）,conte:page_061.png;conf:medium
172,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_061.png;conf:medium
173,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_061.png;conf:medium
174,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_061.png;conf:low
175,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_062.png;conf:medium
176,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_062.png;conf:low
177,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_062.png;conf:low
178,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_063.png;conf:medium
179,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_063.png;conf:low
180,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_063.png;conf:low
181,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_063.png;conf:low
182,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_064.png;conf:medium
183,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_064.png;conf:medium
184,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_065.png;conf:medium
185,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_065.png;conf:medium
186,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_065.png;conf:low
187,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_065.png;conf:medium
188,バー・カラオケ店,バー兼カラオケ店の店内,夜,,,,,,,現代日本（modern-day Japan）,conte:page_066.png;conf:medium
189,バー・カラオケ店,バー兼カラオケ店の店内,夜,,机の上のグラス。氷が溶けて音がする,,,,,現代日本（modern-day Japan）,conte:page_066.png;conf:medium
190,タクシー移動,夜の通り・タクシー車内・食堂,夜,,,,,,,現代日本（modern-day Japan）,conte:page_066.png;conf:low
191,タクシー移動,夜の通り・タクシー車内・食堂,夜,,,,,,,現代日本（modern-day Japan）,conte:page_067.png;conf:medium
192,タクシー移動,夜の通り・タクシー車内・食堂,夜,,,,,,,現代日本（modern-day Japan）,conte:page_067.png;conf:medium
193,タクシー移動,夜の通り・タクシー車内・食堂,夜,,,,,,,現代日本（modern-day Japan）,conte:page_067.png;conf:medium
194,タクシー移動,夜の通り・タクシー車内・食堂,夜,,,,,,,現代日本（modern-day Japan）,conte:page_067.png;conf:medium
195,お隣さんのアパート,集合住宅の一室と廊下・玄関,夜,,,,,,,現代日本（modern-day Japan）,conte:page_068.png;conf:medium
196,お隣さんのアパート,集合住宅の一室と廊下・玄関,夜,,,,,,,現代日本（modern-day Japan）,conte:page_068.png;conf:low
197,お隣さんのアパート,集合住宅の一室と廊下・玄関,夜,,,,,,,現代日本（modern-day Japan）,conte:page_068.png;conf:low
198,お隣さんのアパート,集合住宅の一室と廊下・玄関,夜,,,,,,,現代日本（modern-day Japan）,conte:page_069.png;conf:medium
199,お隣さんのアパート,集合住宅の一室と廊下・玄関,夜,,,,,,,現代日本（modern-day Japan）,conte:page_069.png;conf:low
200,お隣さんのアパート,集合住宅の一室と廊下・玄関,夜,,,,,,,現代日本（modern-day Japan）,conte:page_069.png;conf:low
201,お隣さんのアパート,集合住宅の一室と廊下・玄関,夜,,,,,,,現代日本（modern-day Japan）,conte:page_070.png;conf:medium
202,お隣さんのアパート,集合住宅の一室と廊下・玄関,夜,,,,,,,現代日本（modern-day Japan）,conte:page_070.png;conf:medium
203,お隣さんのアパート,集合住宅の一室と廊下・玄関,夜,,,,,,,現代日本（modern-day Japan）,conte:page_071.png;conf:medium
204,お隣さんのアパート,集合住宅の一室と廊下・玄関,夜,,,,,,,現代日本（modern-day Japan）,conte:page_071.png;conf:low
205,お隣さんのアパート,集合住宅の一室と廊下・玄関,夜,,,,,,,現代日本（modern-day Japan）,conte:page_071.png;conf:low
206,お隣さんのアパート,集合住宅の一室と廊下・玄関,夜,,,,,,,現代日本（modern-day Japan）,conte:page_072.png;conf:medium
207,お隣さんのアパート,集合住宅の一室と廊下・玄関,夜,,違和感を覚える,,,,,現代日本（modern-day Japan）,conte:page_072.png;conf:medium
208,お隣さんのアパート,集合住宅の一室と廊下・玄関,夜,,,,,,,現代日本（modern-day Japan）,conte:page_072.png;conf:low
209,お隣さんのアパート,集合住宅の一室と廊下・玄関,夜,,,,,,,現代日本（modern-day Japan）,conte:page_072.png;conf:low
