cut,page,action,dialogue,se,time,characters,confidence,notes
29,page_011.png,白い鬼／花家主人より / ↑PANして花家主人へ。合わせてピン送りあり。下→上へ,苗(M)　ご主人様が蘇った… / 花家主人　…ふぅ（女声：沈公子）,,6,苗、白い鬼、花家主人、沈公子,medium,scene欄に丸番号確認できず縦棒のみのため直前+1=30で補完。新カットとして扱ったが要確認
30,page_012.png,,お前たち、今ちょうどその娘を食べてもいいぞ。,,4,花家主人、沈公子,medium,dialogueの注記(声:沈公子)。花家主人に憑く妖怪の声
31,page_012.png,BG PAN→ / 瞳じわっと寄り,!?…この声は…,,2,苗,medium,話者○囲み=苗(M)。BG PANと瞳寄りの指示
32,page_012.png,,…人?,,1+12,花家主人、沈公子,medium,注記(声:沈公子)。timeは1+12(秒+コマ)
33,page_012.png,#6 1/2 兼用 / —と、いなくなっては苗 / まわりを見わたす 白い鬼①と②,どこ行った…探せ! / ?……?…,,4,苗,low,話者○囲み=白い鬼①①。#6の兼用(BANK)指定。手書き判読難で confidence低
34,page_012.png,口もとに帳をあてる,し—っ……,,2,尚善,medium,話者○囲み=尚善。複数コマにまたがるが同一カット34に統合
35,page_013.png,梁の上に立っている片足／気づく(苗)　↑PAN-UP(3+0) / うつむき肩を抱かれ。脱出に使用した術にお帯を消す(着替),"(苗)!! …っ… / くっ…""",(扉)シュルルッ,3+0 / 8+0,苗,low,赤字でC35・PAN-UP・(3+0)の指示あり。se擬音は不確実。 ｜ scene欄に丸番号なし＝直前カット35の続き。本文崩し字多く要確認。timeは8+0と読めるが不確実。
36,page_013.png,今夫、緩めで／(苗)悔しさで涙を流す / きっと下の方を睨んで。,(苗)(M)そんな騙された…！さっきのご主人様の声　沈公子の声だ…！ / (苗)(M)…これは復活の儀なんかじゃない(小声),,9,苗、沈公子,medium,(M)=モノローグ。action一部崩し字で要確認。 ｜ scene欄に丸番号なし＝カット36の続き。
37,page_013.png,じわ回りこみ↑　(苗)あおり／バタ。,(沈)借屍環魂だ。屍の身体を借りて魂を融合させる術なんだ(小声),,6+12,苗、沈公子,medium,丸番号37。話者(沈)=沈公子と推定。action左欄に「じわ回りこみ↑」のカメラ指示。
38,page_014.png,あとから引き離し。睨みつけては。涙がこぼって,そんな…！！（小声）,,2,苗,medium,画面=苗の泣き顔。dialogue話者は苗(丸囲み苗)
39,page_014.png,潜る涙,,,2+1/2,,medium,左上にAC(アクションカット)記号。time=2秒12コマと解釈
40,page_014.png,花家爺の足もとに潜る涙,…ポタッ,ポタッ,1+12,花家爺,medium,足もとに錠/扉の場面=花家爺。dialogue丸囲みは別話者(正?)要確認
41,page_014.png,,母っ…！,,1+12,苗,medium,丸囲み苗(M)。セリフ字形『母…！』と推定、要確認
42,page_014.png,ぐるん！と首を回す。白い鬼④。たおれて FIU→より,,ぐりゃっ…,3,水鬼,low,本文欄ほぼ空白。絵のみのカット ｜ ページ最初のコマは丸番号なしの続き＝前ページのカット42に統合。『白い鬼④』は水鬼を指す表記と判断。FIU表記は要確認
43,page_015.png,見つかってしまう 茜と尚善。TUTB!＋カブリング,,,2+12,尚善,low,『茜』はep7配役に該当なし＝要確認(苗か)。カメラ指示TU/TBの誤読可能性。time 2+12
44,page_015.png,,花家主人「こやつらを殺せっ!!」,,,花家主人,medium,
45,page_015.png,花家主人の奥、白い鬼④が飛びかかる。↑（喰り—／佐 ジャンプ—）,,,3+12,花家主人、水鬼,low,丸番号は『45』。左コマに『2』、右本文に分割記述あり。『白い鬼④』＝水鬼の表記。time 3+12。本文崩れ多く要確認
46,page_015.png,のけ反りつつ とっさに棒をかまえる尚善。↑PAN あり / Follow／法背／追う 白い鬼①② / 突如、光につつまれ ?!…,尚善「!!っ」 / 白い鬼①② ぱぱぱ─!!,ぱぱぱ─!!,1 / 1+12,尚善,medium,丸番号『45』の次コマだが左に新たな丸囲み数字あり連番補完で46。本文の○囲み名は尚善と判断。PAN指示あり ｜ 絵柄から沈公子の骸骨/眷属の妖怪と思われるが本文は『白い鬼』と記載。続きコマあり ｜ scene欄に丸番号なし＝46の続きコマ。timeは『1+12』。次コマで丸47が出現。本来46継続だが47絵で新カット扱い
47,page_016.png,#16%兼用／同/外観 同/外観 / 正面出口を吹き飛ばす爆発が起き、けむりの中から ひょうたん が飛んでいく / R きらり ピカッ／瓢箪が飛ぶ,,爆 ─!! / ビゥォォォッ,3,,medium,丸47。建物外観カット。『#16%兼用』=流用指定 ｜ scene欄縦棒のみ＝47の続き。丸番号なし。連番上は48だが続きコマのためnumbered=false。SE『火爆』(爆発) ｜ 続きコマ。SE『ビゥォォォッ』、time『3』。前カットに統合
48,page_017.png,follow,(尚善)師匠からもらった護符はもう切れっ!,,3,尚善,medium,丸囲み48。dialogue冒頭の丸囲みは話者名(尚善)
49,page_017.png,屋敷上空を旋回して帰っていく / A.C.,とりあえず帰るぞ!! (尚善)ピヨ…!!,,3,尚善,medium,丸囲み49。dialogue内の丸囲みは話者名
50,page_017.png,OUT 画面手前、通過する瓢箪と苗。その下方、離れ / IN / 家来が数名、だまって中の様子を見ている。やってくる(花家妻)(花家爺),(家来たち)・中の様子はどうだ?・どうなってる? など / (花家妻)(背)さっきの音、何があったの?,,5,苗、家来、花家妻、花家爺,medium,丸囲み50。手前を通過する=瓢箪と苗 ｜ scene欄に丸番号なし(縦棒のみ)→カット50の続きとして統合。本文に走って(?)の書き込みあり
51,page_017.png,A.C. 立ち止まり、(家来)の報告を聞く,(家来01)(背)奥方様、ご主人様と苗。ふたりとも部屋におりません!,,4,家来、苗,medium,丸囲み51
52,page_018.png,見開く(花家妻)、唖然とし / 不安がつのる、[じゅてい]あり,(花家妻)主人ですって!! (花家爺)(off)家人を集めろ！ふたりを探すんだ！ / (花家主人)(off)はっ…！,,5+12,花家妻、花家爺、花家主人,low,絵は52(s2)。続きコマ(縦棒)を統合。不安がつのる/[じゅてい]あり ｜ 縦棒の続きコマ→52に統合。dialogue欄『家来01』らしき丸囲みだが花家主人と判断、要確認
53,page_018.png,森 上空(夜)。(花家主人)の身体の(沈み)(以降 沈),,,,花家主人,medium,森(夜)053以降の場面と整合
54,page_018.png,上空を飛んでいく / Follow ←0。妖怪たちの雲に包まれて飛行し(舟?)を追っている,(正)ズン… / (沈)…くそ！あと1歩で花家の財宝と娘を手に入れられたのに…！,,3+12 / 6,沈公子,medium,絵に『←3/12』指示あり ｜ 絵は54(s4)。Follow指定。dialogue欄(沈)=沈公子
55,page_019.png,Follow（夏へ）,夜明けまでに何とかあの小娘を殺さねば…！！,,,沈公子,medium,丸囲み55。dialogueは沈(沈公子)・背の指示。冒頭'Follow（夏へ）'はaction欄左上の記載
56,page_019.png,指示を断つ。妖怪4体ほど下方の森の方へと向かう。行け！,（妖怪たち）（唸り―,,6+12,沈公子、妖怪,medium,丸囲み56。'流'='沈'(沈公子)の指示。妖怪の唸り声
57,page_019.png,森の中。―を探索する状況。その足もと,,"（静寂―
（足音―",,,medium,丸囲み56と読めるが連番上57。左上に丸囲み数字。続き縦棒コマ(足もとの絵)を統合
58,page_019.png,→Follow。しばし歩くと / さきほど放った4体が後方から戻ってくる。 / FIX,妖怪たち（喉ローリング）／沈 ！…うしろから戻ってきた…？ / そうか、まやかしの術か。まっすぐ進んだつもりだも元の場所に戻ってしまう…,,3+12 / 8 / 7,苗、沈公子、妖怪たち,medium,丸囲み57と読めるが連番上58。竹林を歩く人物(苗)。次コマは続き縦棒で統合 ｜ ページ最初のコマは丸番号なしの続き。前ページ最後のカット58の続きとして統合 ｜ 絵には丸囲み58が描かれている。BG指示あり。前のコマと同一カット58として扱うか判断分かれるが丸番号58が明示されているため統合。time欄に7と記載
59,page_020.png,じわPAN UP／花土には（黄爺）口もとがニヤリ,(off)いったいどこの道士だ。裏でこんな下品な術を使う奴は…／黄爺（ニヤリ…）,,6,黄爺,medium,PAN UP指示。人名は黄爺と判読
60,page_020.png,FIX（0+12）,私！下品な道士で悪かったな。,,3+12,,medium,丸番号60。FIX指示と(0+12)記載あり
61,page_020.png,立ち止まり 沈／不敵な笑み,(off)だが、お前も同じ妖怪モンじゃ。／沈 フゥ…,,5,沈公子,medium,丸番号61。沈マーク=沈公子
62,page_021.png,一気に襲いかかる妖怪たち,子供を虐めるだけの道士だぞ。わし以下かもしれんぞ。,グィィッ!!,5+12,黄爺,medium,黄爺さんのセリフ ｜ 左コマは番号なしの続き(妖怪のシルエット)、丸63が次コマに現れる。妖怪のSEと黄爺の芝居をまとめた
63,page_021.png,回避する黄爺,ぬんっ!,,,黄爺,medium,丸63の本コマ
64,page_021.png,ともにぶつかり合う妖怪たち / 獣のような構えを見せる黄爺(作画:7B),スオォリッ!!,シュバッ!! / ドガガッ!!,3 / 1,黄爺,medium,絵に丸14が複数あるが連番上64。妖怪同士の衝突 ｜ 丸64。前コマと同じく妖怪衝突〜黄爺の構え。番号判読に揺れあり要確認
65,page_022.png,［樋口B］応戦力は（沈）,させぬっ！,,1,沈公子,medium,スクリーン内の指示文字は一部判読困難。dialogue「させぬっ！」
66,page_022.png,,,ガシャ！,1/2K,,medium,SE「ガシャ！」。time欄に丸囲み「1/2K」様の記入、判読要確認
67,page_022.png,［4/B］＋フォロング（兼用）。（黄爺）の首根っこを右手で掴むが.,,ガシャ！,,黄爺,low,action崩し字多く推測。フォローイング/兼用か。「黄爺」は丸囲み
68,page_022.png,（黄爺）が変化。くんりが下がる。視界が悪いのか、何かに足を蹴飛ばされる,"何っ!?
｜
ぐぅっ…！",ばすわん、!!,2,黄爺,low,コマ3とコマ4は同一カット68の継続(コマ4左に丸番号なし、絵・本文の続き)として統合。SE「ばすわん!!」。崩し字多く推測含む
69,page_023.png,くわっと開けて / Q7Bにて 吠える黄爺 / 画ブレ→より,（吠え）一 / （吠え一！！,,4+12,黄爺,medium,action欄に丸囲み『1+4 黄爺』らしき記載。dialogue『（吠え）一』 ｜ 縦棒のみで丸番号なし＝直前カット69の続きとして統合。BANK指定『Q7B』らしき記載
70,page_023.png,吹き飛ぶ妖怪たち / 強烈な吠えにより 消しとぶ。/ 画フレ→より,（妖怪たち）！？… / （断末魔一…,,2+12,,medium,action『吹き飛ぶ妖怪たち』、dialogue丸囲み『妖怪たち』＋『！？…』 ｜ 縦棒のみ＝直前カット70の続きとして統合
71,page_023.png,何とか もがく沈公子 / →[JAPAN] / ゆっくりと変化を解く,（沈）ぐっ！… / うぅ…！！ / ぬぅぅぅ…！！ / あぁ…,,,沈公子,medium,action丸囲み『沈』＝沈公子。PAN指示らしき枠囲み記載あり ｜ ページ最初の2コマは丸番号なしの続き。前ページのカット71に統合
72,page_024.png,ゆっくりと消えていくムラ,くそっ…魂だけ逃げやがった…,,3+12,黄爺,medium,SE的記号と話者『黄爺』に丸囲み。前のコマに『JE/SE はわれん』等の崩し字あり要確認
73,page_024.png,森の上空。道観へと向かっている 尚善と苗。Follow手前。TÜRPANより,,,2+12,尚善、苗,medium,画面に『月明かり』『変化り』の指示。話者欄『尚善』『苗』丸囲み
74,page_024.png,Follow手前。+苗ひき あり / 視線だけ苗の方へ。,(尚善)どうしてこんなことになったの…(苗)ご主人様を生き返らせようと思って… / 尚善「自分が死んでしまうのに?」 苗「え?だってご主人様は尚善で。」,,10+12,尚善、苗,medium,話者『尚善』『苗』丸囲み ｜ ページ最初のコマはscene欄に縦棒のみで丸番号なし＝前ページのカット74の続きとして統合
75,page_025.png,Follow OS→ →じわPAN,苗「将来きっと何らかの功績を上げられる時だ それに大勢の方からも慕われていて…」,,7,苗,medium,
76,page_025.png,←じんぱん 平然と詰め寄る苗,でも、私は君を失っても誰も困らないし…これも私の命で。,,5+12,苗,medium,action欄『じんぱん』は要確認
78,page_025.png,Follow 奥へ。 ロールイング,皆「ご主人様を蘇らせることが出来るなら、十分割りに合うのではないですか?」 / 尚善・皆「苗ちゃんのご主人様も苗ちゃんも命はひとつしかないよ。」,,11,尚善、苗,medium,77は欠番(このページに描かれず)。話者は『皆』丸囲み ｜ 左コマは縦棒のみ＝直前カット78の続きと解せるが、本文に話者(尚善・皆)があり別カット相当。番号不明のため直前78+1=79で補完。要確認
79,page_026.png,Follow。眉を細め,尚善「割に合うことなど 絶対ない…」,,3,尚善,medium,
80,page_026.png,森の川辺。ホタル(?)がふわりと舞う,画(off)「彼女さまは まだお若いから 分からないのかも しれませんが…」,,5,苗,medium,画=苗ちゃん。off台詞
81,page_026.png,川辺の上をゆっくりと通過してくひょうたん,(off)「命の価値はそれぞれ 違うんですよ…」,,4,苗,medium,瓢箪(フゥールー)が通過
82,page_026.png,○兼 Follow手前,尚善「これはまだ苗ちゃんが 生きてるから そう言えるんだ。でも苗ちゃんが 死んだら…」 / 苗「…?」 黄爺(off)「尚善!」 尚善「!」,,9,尚善、苗、黄爺さん,medium,兼用指示あり ｜ scene欄に縦棒のみ＝直前カット82の続きとも取れるが、本文が独立した新カット内容。丸番号確認できず連番で83と補完。要確認
83,page_027.png,PAN 全尺・普通で 木の上でこちらを見おろした 黄爺(かぶり),黄爺ちゃん…?,,2+12,黄爺、尚善,medium,右本文の話者は尚善(○善)。黄爺は木の上にいる
84,page_027.png,T.U. 降りてくる ひょうたん 同じ高さで浮遊する,ブワァ… こんな時間まで どこへ行ってた!?,ブワァ…,4,黄爺,medium,瓢箪(ひょうたん)が降りてくる。話者は黄爺
85,page_027.png,いつもと違う 優しい表情(かぶり),早くこっちに来い… 心配したんだぞ,,3,黄爺,medium,
86,page_027.png,―と、険しい表情の 尚善 / O.L.,…私. / !?… ブナォおおっ!! ニャャ!!,ブナォおおっ!! ニャャ!!,3+12,尚善、黄爺,low,話者は尚善 ｜ scene欄に丸番号無し(縦棒のみ)の続きコマだが、左コマに別絵あり。番号読めず連番補完で87とした。要確認
87,page_028.png,黄爺さんの姿が変化して気の塊へ。,黄爺「‥‥」　沈公子「フワァ‥!!」,,2,黄爺さん、沈公子,medium,丸囲み87。沈公子のセリフは擬音的
88,page_028.png,BG.空。上昇、この位（ぐらい）,苗「なぜ逃げするんですか!? お知り合いじゃないんですか!?」,,,苗,medium,丸囲み88。BG指示ありの右上
89,page_028.png,PANして。気の塊が沈公子を形成。,沈公子「ズワワ‥」　尚善「ニセモノだ。‥!?‥」,,3+12,沈公子、尚善,medium,丸囲み89。コマ2(左:横顔)の本文とコマ3(89)の本文を統合。timeは元「3+12」と読む。コマ2右の time '5+12' は別カット末尾の可能性ありだが連番上89に含めて統合
90,page_028.png,造作を防ぐ。急停止するひっかかり（水平方向でOK）,沈公子「…お前に一言忠告しよう。」,,,沈公子,medium,丸囲み90
91,page_029.png,全尺・普通で PAN →,(沈公子)これ以上、この件に首を突っ込むな。一応、同じ道のもの。お前を傷つけたくはない。,,6+12,沈公子,medium,action欄の崩し字は『全尺・普通で』のカメラ指示と推定。dialogue末尾やや不明瞭。scene欄の赤字×・赤書きは演出指示
92,page_029.png,沈公子あり ←じわPAN,(尚善)お前にを、これ以上人々を騙し、傷つけるなら容赦しない！ (沈公子)(背)ほう…,,4+12,尚善、沈公子,medium,dialogue『お前にを』は書かれたまま。じわPAN指示あり
93,page_029.png,RANDom よに懐に手を入れて(尚善),(OFF)たいした腕もないくせに、減らず口を叩くとは、生意気なガキめ！,(正)ゴソゴソ,,尚善,low,左欄下に『セリフ後に』のメモ→次カットへ続く指示 ｜ scene欄に丸番号なし(縦棒)=93の続きとして統合。『RANDom』は崩し字、判読困難 ｜ ほぼ空コマ。右端に『4』様の書き込みのみ。93の続きとして扱う
94,page_029.png,鈴がついた帯を取り出す,(正)(鈴)─ (沈公子)…私と相手する気か。面白い… / 沈公子「おい娘、姫様との約束を破る気か…？」 苗「！？…」,,,沈公子、苗,medium,道具=応魂鈴(鈴のついた帯)と推定。dialogue『私と相手する気か』はやや不明瞭 ｜ ページ最初のコマは丸番号なしの続き。前ページ最後のカット94の続きとして統合
95,page_030.png,瞳ブレ(苗) もう少しブレて,沈公子(OFF)「それにそのカギがお前を守れると思うか？それともお前の道連れとして。」,じわPAN！,,沈公子、苗,medium,
96,page_030.png,動揺が激しくなる(苗),(OFF)「そのカギを選んでもいいのか？」 苗「！？……」,,2,苗,medium,
97,page_030.png,,沈公子「ふたり、一緒に死にたいというのだ？」,,2+12,沈公子,medium,左本文に判読困難な手書きあり
98,page_030.png,兼用 FIX！ 沈公子、尚善に,(尚善?)「そこの小娘、お前の本心はどうなのだ」 尚善「？…」,,3+12,沈公子、尚善,medium,丸囲みの話者は尚善と推定
99,page_031.png,PAN↘ 全尺・普通で,(沈公子)そいつはお前とは一切関係のない娘。そいつに「助けてほしい」と過大な要求をされただけのこと…お前は子供。そいつの身勝手な想いだけで。,,,沈公子,medium,コマ0とコマ1(scene欄縦棒のみ＝続き)を統合。月明かりの指示あり
100,page_031.png,(尚善)お前が犠牲になることなどあり得ない。,(尚善)でたらめを言うな!!,,4,尚善,medium,
101,page_031.png,○兼(兼用)／(沈公子)眉を細め。／月のアップ ボリュームを合わせた,(沈公子)でたらめだと…／(尚善)そうだ!でたらめだっ!,,2+12,沈公子、尚善,medium,左欄に兼用指示。time推定 2+12
102,page_031.png,○兼(兼用),(尚善)困っている人を助けてなぜ悪い。見て見ぬふりをしろとお前に言われる必要もない!,,4+12,尚善,medium,time推定 4+12
103,page_032.png,,私は自分で決めた人だ！ 私が山を降りたのは,,3+12,尚善、苗,medium,action欄に〇尚善・苗の記名。time欄は3+12と読む
104,page_032.png,あなたを助けたかったからだ！ / ポロポロと涙を流す苗,苗 ！！‥‥,,4+12,尚善、苗,medium,丸囲み兼(尚善)の記名 ｜ scene欄に丸番号なし(続きコマ)＝直前カット104に統合。time欄4+12
105,page_032.png,,(沈公子)おや？娘、なぜ泣く？分からないな…／(苗)一度は死ぬと決めたのに、なぜ今さら,,3,沈公子、苗,medium,上段の丸囲みは沈公子(沢公子は誤読)、下段の(苗)は苗
106,page_032.png,←じゃPAN／生に執着する。,目を開じ泣きつづける苗,,,苗,medium,「じゃPAN」=じわPANの可能性。time欄不明瞭
107,page_033.png,両腕を組みつつ話しつづける沈公子,壮大な志を抱いては者は、想いをとげた早くにこの世を去る…一生だらだらと暮らしてきた凡人が100歳まで長生きするなんて…ほんとうにくだらないと思わないか?,,,沈公子,medium,絵指示「1コマ回り込み」。コマ0(107)とコマ1(縦棒・続き)を統合
108,page_033.png,夕もやのように揺らめく気,尚善「だまれっ!」 沈公子(off)「よく考えてみろ。娘が大人しく生贄に」,,9,尚善、沈公子,medium,
109,page_033.png,↑PAN UP・フォロー(FIXもし),なってくれたら、娘の主人も歓ぶんだ。花家の人々も豊かな暮らしが続けられる。これ以上、その娘が抵抗するだけ、お前にも迷惑がかかる。そして、花家にとっても大きな損失が出る,,5+12,沈公子,medium,コマ3(109)とコマ4(縦棒・続き)を統合。time欄に「9」の記入も別途あり
110,page_034.png,顔をあげ,でっ…でも…！復活したのはご主人様じゃない…おちだ…！,,3+12,苗,medium,dialogue末尾「おちだ」は判読困難・要確認
111,page_034.png,,バカな娘でな。そんなことを気にするのはお前だけだ。,,,沈公子,medium,話者の丸囲みは「沈公子」と推定
112,page_034.png,兼用／回り込み 両うで組んでます,皆が心配してはのは花家と安定した昔の暮らしだ。花家の主人がどんな人なのかなど、誰も気にしてはいない,,5+12,沈公子、花家主人,medium,action欄左の指示「両うで組んでます」含む
113,page_034.png,回り込み,君が死ぬだけで全て花家が元の形に戻すんだ。だから皆のために君が犠牲になってもらえるか？,,,,medium,time欄判読困難
114,page_034.png,兼用／フレーム位置 調整,うるさいっ！えらそうに自分が偉いというなら…！,,2+18,苗,medium,話者の丸囲みは「苗」と推定。dialogue一部判読困難
115,page_035.png,鈴のついた帯を胸の前に。発光する鈴。帯を広げる尚善。広がる波紋。,お前がこの世のために…　死ね！,パァン／鈴ー！！,3,尚善,medium,コマ0左に丸囲み115、コマ1は縦棒のみで続きと判断し統合
116,page_035.png,合わせてQ.PAN。水中へと空間が変わる。兼用。,沈公子…　…,どぷ、,1+12,沈公子,medium,丸数字116。Q.PAN=クイックパン。台詞のセリフ主体は沈公子（円囲み）
117,page_035.png,気泡がのぼる。3つの鈴が沈公子をとり囲み、ほのかに発光。,調子にのって…,,,沈公子,medium,丸数字117
118,page_035.png,ぐにゃりと魚を召喚させる。鈴に向かっていき。 / 鈴を噛み砕く。合わせて回り。 / 動く（回り）,召喚ー / （尚善）ぐわっ / （尚善）ハァッ…!,,4 / 2+12,沈公子、尚善,low,コマ4左に丸番号が読み取りにくいが、連番から118と補完。冒頭〇囲みは沈公子と推定 ｜ action欄『鈴を噛み砕く。合わせて○○回り』一部判読困難。dialogue丸囲み『尚』と推定 ｜ scene欄に丸番号なし=118の続きコマとして統合。本文判読困難、dialogue丸囲み『尚』と推定
119,page_036.png,尚善の術が水流が巻き起こり収束 / 解ける。ふわりと残る帯,（尚善）水流ー!! / （沈公子）…逃げたか。,,,尚善、沈公子,medium,dialogue丸囲み『尚』。action『○善の術が』の○善は尚善と推定 ｜ scene欄丸番号なし=119の続きコマとして統合。dialogue丸囲み『沈公』は沈公子
