cut,staging,confidence,notes
18,会議室の壁面をほぼ正対で捉えた65mm相当のパースの浅い横位置構図で、EYE線は画面中央やや上、カメラは立つ人物の顔の高さにある。画面右にレバーハンドル付きの片開きドア（ドアノブは左端・EYE線直下）、その左手には大きな窓またはガラス面が連続し、床際まで枠が伸びる。上方へのPANを前提に上部に余白を残す。,high,背景は壁・ドア・窓枠のみで、キャラや家具は原図に無いため描かない（人物位置は画面右手前想定だが背景には含めない）。
19,会議室の窓側手前に据えたカメラが、室内の壁面（大きなガラス窓・窓枠が縦に並ぶ）に向かって水平に構える中景。75mmの望遠でパースは浅く、EYE線は画面下寄り（着席した人物の目線高さ）を通り、上PANの途中の画角。画面左端手前にBook指定の窓枠／ブラインド状の縦格子が重なり、右奥にかけて広い窓面と天井境界が続く。,medium,背景は会議室の窓と窓枠中心で、キャラ（星崎・佐々木・二人静ら）や机・椅子・書類は背景には描かず、EYE線と着席位置のみ根拠として保持する。
20,会議テーブルを挟んだ手前側から奥の壁に向かって水平に構えた40mmのやや望遠気味の画角で、EYE線は着席者の頭上あたり、部屋の奥壁を正面に捉える。画面には手前に緑色天板の大きな会議テーブル（金属フレーム脚）が横長に広がり、その奥に3脚のオフィスチェアが等間隔で並び、さらに奥の壁一面にブラインドの掛かった窓（横桟）と右手にモニター、上部に室名表示が写る。手前カメラ側に座る人物・机上の小物・室外の風景は写さない。,high,3脚の椅子位置は着席する佐々木・二人静ら人物の配置に対応するため動かさない。
21,会議室正面、着席した阿久津を真正面から捉えるアイレベルのショット。45mmの標準寄りで、画面上部に横長のモニター（超常現象対策局のマーク画面、上端が薄緑に発光）が壁面に掛かり、その下に縦の壁パネル／窓枠の縦線が並び、EYE線付近に椅子の背もたれ（青みがかった水色）が中央に配置される。奥壁のみで机や他キャラは写らず、椅子は着席キャラの位置に固定して動かさない。,high,椅子中央配置はIMAGE2の阿久津着席位置が根拠、モニター発光と壁の縦線は原図の指示メモに準拠。
22,35mmレンズで会議室内をやや広めに捉えた俯瞰気味の正面構図。カメラは室内の対面側から会議室中央のテーブルへ向き、EYE線は画面中央のやや上に位置。中央に楕円形の会議テーブル（上に卓上ランプとBook）、左手前に複数のオフィスチェアが列を成し、奥に引き戸と両開きドア、左壁に格子窓、右壁に緑色に光る局のマーク付きモニターが掛かる。椅子の配置は左側の着席キャラ群と右側の一人の位置に対応するので動かさない。,high,IMAGE2の左手の吹き出しやセル書き込みは背景には含めない。
23,会議室内、キャラの左肩越し付近から右斜め前方へ向けたやや望遠(120mm)のバストショット画角で、EYE線はほぼ水平。画面左〜中央は縦ルーバー（細い縦桟が連続する間仕切りまたはブラインド壁）が奥へ緩く収束し、画面右にはガラスパーテーションで区切られた開口部（ドア／窓枠）とその奥の壁面が写る。写らないもの: モニター画面・机・椅子・照明器具などは原図に無いため描かない。,medium,縦線群はルーバー壁と解釈したが、ブラインドの可能性もあり細部の質感は原図から断定できない。
24,会議室の正面壁を、着席した阿久津の胸から上を捉える位置（EYE線＝立っている人物の目線よりやや低い着席目線）から、ほぼ正対して撮る。画面上部の壁面に横長のモニターが1台掛かり、その画面には超常現象対策局のマーク画像が表示される（画面中央やや上、43mmの浅いパースで壁とモニターは正面向き）。壁とモニター以外の什器・窓・小物は原図に無いので描かない。T.U.指定のため寄り気味の画角で、モニター下辺は着席キャラの頭部背後に来る配置を保つ。,medium,原図の実在物は壁とモニター（マーク画面）のみで、モニター位置は原図の赤枠指定と『モニター位置』注記に基づくが、正確なフレーミングはT.U.終端値が不明。
26,会議室内、着席した人物の胸から上を捉える高さ（EYE線は画面ほぼ中央=座った人物の目線の高さ）のほぼ正面固定カメラ。画面全体に縦桟の連続する壁面（ブラインドまたは縦格子の間仕切り）が奥に広がり、下端に沿って低い水平の桟（腰壁または窓枠のライン）が横に走る。窓外の景色・家具・机・椅子・キャラクターは背景には写らず、右下奥に向かって薄く床面の遠近ラインが引かれるのみ。,medium,縦桟は縦ブラインドか縦格子の間仕切りと判断したが、原図線が薄く素材の断定は不確か。
27,内閣府超常現象対策局の会議室（小）を、着席する阿久津の斜め正面付近から捉えたバストショット相当の画角。画面右上に横長のモニターがBookとして配置され（右端は彩色フレーム外へ切れる）、その下と左側に会議室の壁面・室内空間が広がる、パースの浅い落ち着いた構図。人物は含まず、モニターの発光や机上の小物などは原図に無いため描かない。,medium,原図の実在要素はモニター（Book）と会議室内観のみで、画角はセル込みのキャラ頭部位置とEYE線から推定した。
28,会議室の窓側テーブルを正面やや水平気味の標準画角で捉えたカット。画面奥に縦ブラインド（垂直ルーバー）が壁一面に広がり、その手前中央に横長のテーブル、右端に壁面と両開きドアのハンドルが見える。EYE線は画面中央やや下で、テーブル手前左右にBook扱いの椅子（Book B=左手前、Book D=中央手前）が着席キャラの位置に合わせて配置される。窓外の景色・室内奥の追加什器は描かない。,high,椅子2脚は原図のBook指示と着席キャラ位置に対応するため動かさない。
29,会議室内、着席した阿久津を正面やや下から捉えるアングルで、フレームはPAN UPして下（テーブル面）から上（頭上のモニター）へ振り上がる。画面奥の壁には横長のモニター(Book1)が右上寄りに掛かり、手前中央〜右にはイス(Book2)の背もたれがシルエット状に大きく張り出し、画面下端にはテーブル(Book3)が左下がりの傾斜で横切る。左壁面はほぼ無地の平面で、キャラや小物は原図に無いので描かない。,high,イスとテーブルの位置は着席する阿久津の配置に対応するため動かさない。左壁の掲示物等は原図に存在しないため追加禁止。
30,会議室内の壁面ロッカー（両開き扉が横に並ぶ）を背景に、キャラのやや斜め前方から水平に捉えた画角。画面右奥の壁には「内閣府超常現象対策局・会議室(小)」と記された掲示物パネルがあり、左端手前から画面下半分にかけて数脚の椅子（Book①②③のシルエット位置＝着席キャラの位置）が並ぶ。窓や机、屋外の風景は原図に無く描かない。PAN指定（右下A→B）による横移動を伴う構図。,medium,壁のロッカー扉と掲示パネルは原図に明確だが、床や椅子の具体形状は緑のBookシルエットからの推定で不確か。
31,会議室の一角を、着席したキャラの正面やや上（EYE線は画面中央付近）から捉えたほぼ真正面の画角で、パースは緩やか。奥に二面が直角に交わる白い壁と縦の柱／継ぎ目が立ち、床は明暗のタイルが手前へ広がる。左下には緑で示されたBook②の椅子、右下には緑のBook①のテーブルがフレーム外前景として入り、中央奥の床が開けている。,medium,椅子とテーブルはBook指定の前景要素で位置は固定、原図に無い机上小物や窓・照明は描かない。
32,会議室内の一角を、着席するキャラの目線と同程度のやや低いアイレベルから、ほぼ水平（100%＝標準〜浅めパース）で捉えたバストショット画角。画面左手前にホワイトボードが斜めに配置され、その手前に細長いテーブル（Book③④）が横たわり、右奥にホワイトボード面と会議室の壁が続き、右手前に椅子（イス／Book③）が置かれる。窓や屋外・小道具の詳細は原図に無いため描かない。テーブルと椅子の位置はキャラの立ち・着席位置に対応するので動かさない。,medium,背景要素はホワイトボード・テーブル・椅子のみ確実で、壁面の窓や装飾は原図に明示されておらず不確か。
33,会議室内をほぼ正面から捉えた顔ドアップの画角で、フレームは佐々木の顔（IMAGE2）で埋まるため背景は目の前後にわずかに覗く程度。写るのは会議室の壁面や空間のごく一部のみで、キャラの背後にあたる中央〜下部の余白がそれに該当する。机・椅子・窓・他キャラなど具体的な什器は原図に一切描かれていないため追加せず、Book（薄グレー帯）も背景として写り込む被写界外要素として扱う。,medium,原図（IMAGE1）は枠と注記のみで具体物の描写が無く、超クローズアップのため背景要素はほぼ見えないと判断した。
34,会議室内をやや正面から捉えた胸上〜腰上の中景で、EYE線は画面中央よりやや上（立つ阿久津の胸〜顔の高さ）に水平に通る；A→BへPANするため背景は横に広く、右上に電源オフのモニター、中央奥に縦の柱／間仕切り、下部中央に手前の椅子の背もたれ、その手前左にテーブルの縁が配置される。背景左手に『内閣府超常現象対策局・会議室（小）』の壁面が広がり、朝の落ち着いた室内光で全体はパースの浅い標準〜やや望遠気味。,medium,モニターは『off』指定で消灯、キャラの腕組み立ち位置が椅子・テーブルの位置基準なので家具は動かさない。
35,内閣府対策局の会議室を、やや高い位置から見下ろす俯瞰アングル。画面右側にキャラが観念して仏（Book素材）にもたれかかる位置があり、その背後から左奥へ会議室の壁・机の面が続く。カメラは右から左へPANしながら俯瞰で流す構図で、Bookは画面左下に緑で示された前景オブジェクトとして手前に配置される。窓外の景色や小物・家具の細部は原図に無いので描き足さないこと。,medium,100%表記で望遠寄り・パースは浅め、俯瞰PANはコンテ指示に依拠したが仏（Book）の具体形状は原図に明示されず不確か。
36,会議室内、着席する3人と正対するやや高めのアイレベル・水平カメラで、部屋の壁面（大きな横長窓とブラインド/ルーバー）を背景に捉えた構図。画面上部3分の1に横長の窓と窓枠が水平に走り、その手前中央〜左に事務椅子（オフィスチェア）が3脚横並びで配置、画面下端に脚部が見切れ、右手前にはガラス天板の会議テーブルの縁がわずかに写り込む。緑のEYE線は椅子座面〜背もたれ付近の高さで、パースは浅めで奥行きは緩やか。椅子の位置は着席キャラの位置に対応するため動かさない。,high,窓・ブラインド・椅子3脚・テーブル縁は原図に実在するが、原図に無い人物・小物・室外の景色は描かない。
37,会議室の室内から窓側の壁面へ向けたやや望遠気味（100%＝標準〜浅めパース）の構図で、カメラはキャラのバストアップ越しに右側の壁を捉える。画面右にブラインドまたは縦格子状の大きな窓が奥へパースで並び、その手前左下に窓枠の下框（水平の梁）が斜めに走る。写るのは窓と窓枠のみで、家具・机・椅子・床面や部屋の他の壁は原図に無いため描かない。,medium,原図の右半分にしか作画が無く左側は空白のためキャラ位置優先で右の窓を主要素と判断、窓の種別（ブラインド/格子）は線画だけでは断定できない。
38,会議室の壁面を正面やや左寄りから捉えたほぼ真横のアングルで、パースの浅い望遠気味の構図。画面左手前に会議室の入口ドア枠と壁の縦ラインが立ち、右へ向かって単調な壁面（縦の間仕切り線）が奥へ広がる淡い室内で、EYE線は画面下寄り、上方に大きく余白を残す（PAN UPで頭上へ抜ける前提）。人物・机・椅子・小物は描かず壁とドア枠のみとし、キャラ（阿久津）は画面右中央に立つ根拠なので壁面はその背後として空けておく。,medium,原図は壁面と左のドア枠状のBookのみで具体物が乏しく、PAN UP指定から上方向の余白確保を優先した。
258,高所から夜の東京上空を俯瞰気味に捉えた空撮アングル。画面中央やや右に発光する満月（黄緑〜黄の光）が浮かび、画面全体はピンク〜藤色の隔離空間特有の空で覆われ、上下に横流れする薄い雲（Book）が幾重にもたなびく。地上の街並みや東京タワーの具体的な建物は原図には描かれておらず（雲と空と月のみ）、地平線や道路も描かないこと。,medium,コンテ指定では東京タワーの見える夜景だが原図には雲・空・発光する月のみ実在し建物類は描かれていないため実在物のみ記述した。
260,真俯瞰に近い高角度で夜の市街地を上空から見下ろす鳥瞰カット。画面全体に密集した住宅・ビルの屋根が箱状に整然と広がり、右上に円形の構造物（貯水槽か広場）、右辺・左下・各所に樹木が点在する。地平線・空・東京タワーは写らず、T.B.（トラックバック）で街並みが引いていく。画面中央やや上の空間はキャラ（飛行する佐々木ら）が入るため建物を描き込みすぎない。,high,指示に「BG引くので大きめに描く」とあり真俯瞰の街並みが主体、中央のセル位置に合わせ抜けを確保。
261,夜空を背景にした空中の広い画角。カメラは飛行する二人を斜め上気味に捉え、画面下方から右下、左端上部にかけて雲（Book素材）が層をなして配置される。中央から上は一面の夜空で、雲以外に地上・建物・東京タワー等は写らない。Follow/PANで雲が引き(1K/0.3mm)で流れる想定のため、雲の位置は動きの起点として固定する。,high,原図の実体は夜空と複数の雲(BookおよびBG)のみで、キャラ配置は雲の切れ間＝空の抜けを確保する根拠になる。
262,夜空を見上げるようにやや上向きの空撮画角で、雲より高い上空から市街地の夜空を捉える。画面右中央から右上にかけて横長の雲が一つ、左下端にも小さな雲がかかり、それ以外は一面の夜空で地平や建物・地上は写らない。キャラ（飛行する佐々木・二人静・お隣さん）は画面中央から右にかけて配置される想定で、背景は彼らを浮かべる空のみ。,high,原図には夜空と二つの雲のみが実在し、地上や星などの描き込みは無いため追加しない。
263,夜の市街地上空を、正面やや見上げ気味の望遠画角で捉える。画面全体が夜空で、パースの浅い一様な暗い空間として広がり、標準フレームから下方の彩色フレーム（16:9）へPAN UPおよびPAN T.B.する縦長の抜けを持つ。地上の建物・街並みや光源は原図の背景枠内に描かれておらず、空中に浮かぶ二人を受ける空間のみ。,medium,原図は罫線とフレーム指定のみで具体的な背景モチーフが描かれておらず、抱き合うキャラを配置する夜空の抜けと判断した。
264,高所（ビル屋上か高層階）の縁付近から、眼下に広がる夜の市街地を俯瞰気味に見渡す横位置のカメラ。画面下半分に密集した建物群と道路が遠近感のある俯瞰で広がり、上半分は開けた夜空で、右上に薄い雲、左中央にも横に伸びる雲がかかる。地平線は画面中央やや上に位置し、キャラ（左寄りに二人・右寄りに二人）は空を背にした立ち位置に置かれるが背景側には描かない。,medium,俯瞰の街並みと夜空が主要素だが、街の具体的な建物・光源の細部は原図でラフなため推測での追加は避けた。
265,カメラは人物の胸から上を捉えるバストショットの画角で、夜の市街地を背景に水平やや見上げ気味に向く。画面右上に「夜空」と指定された広い空が開け、そこから右下へ緩やかに傾斜する稜線（ビル群または地平のシルエット）が伸び、画面全体は空を主体とした抜けの構図となる。手前のキャラは画面中央に立つが、背景はキャラ背後の夜空と右下の建物シルエットのみで、地面や室内要素は写らない。,medium,原図の線は空と稜線を示す抜けの背景と判断したが、具体的な建物ディテールの指定は無く夜空指定のみが確実。
266,夜の市街地を背景に、キャラのバストアップを至近距離で捉えたローアングル寄りの構図。画面上端に薄い雲のようなラインが横に流れ、それ以外は建物の輪郭を示す数本の対角線が引かれるのみで、大部分は「夜空」の指定に従った暗い空が占める。背景は極めてシンプルなため、街灯・窓明かり・具体的なビル形状などの描き込みは加えないこと。,medium,原図の線は雲と背景建物のシルエットを示す少数のラインのみで、詳細な街並みは描かれていないため夜空主体と判断。
267,夜の市街地を見下ろす高所からの俯瞰気味の画角で、カメラはほぼ水平に街の遠景へ向く。画面右上から中央にかけて稜線状の暗い山並み（Book）が斜めに走り、左中段には低い稜線がなだらかに横たわる。空は夜空で、地上の建物・道路・灯りなどのディテールは描かれておらず、キャラの立ち位置は左下に抱き合う二人・右にお隣さんとお姫様抱っこの二人で、背景側に固定物はない。,medium,原図の実在要素は稜線状のシルエット（Book）と夜空のみで、市街地の具体的建物は描かれていないため空間は暗い遠景として扱った。
269,お隣さん視点のあおり気味ローアングルで、お姫様抱っこ状態の男女2人を正面～やや見上げる構図。フレームはL to S（ルーズからサイズ）へのPAN T.B.（縦移動）指定で、まず全身のルーズ画角から寄っていく想定。背景は夜の市街地だが、画面の大半は密着した2人のキャラが占め、原図に地面線や建物などの具体的背景ディテールは描かれていない。,medium,原図はキャラ主体でBookや建物の描き込みが無く、背景は夜の市街の暗い空間として想定するのみ（余白部分に街の描写を勝手に足さない）。
270,夜の市街地を見下ろす高所からの俯瞰気味の画角で、カメラは水平よりやや下向き。原図に描かれているのは画面右下から右辺にかけて斜めに立ち上がるビル屋上の縁（暗いシルエットの崖状の稜線）のみで、その左上に「夜空」の指示があるとおり画面の大部分は夜の空。地上の街並みや建物、光源などは原図に描かれておらず追加しない。,medium,原図は右下の屋上エッジと夜空の指定のみで具体的な地物は無く、キャラ（三人）は画面左〜中央のフレーム内に立つ配置のため背景はほぼ空とビル縁で構成される。
271,夜の市街地上空から地平（ビル群の稜線）を見下ろす広角気味のアングルで、水平線はやや高く画面中央付近に位置し、上半分が夜空、下半分がグレーの地面（建物群の面）で占められる。地表には奥へ収束する複数の直線（道路や区画のライン）が右下・中央・左へ放射状に伸び、水平線右寄りに小さな塔状の建造物のシルエットが一つだけ立つ。キャラ（阿久津さん）は右寄り手前に大きく配置される想定なので、その背後となる右側の地表・空を塞がず開けておく。,medium,原図は俯瞰の地平線構図で、右手前にキャラが乗るため背景の実在要素は水平線・放射状のライン・右の小塔のみ、建物の詳細は描き込まない。
272,夜の市街地を見下ろす高所からのバストショット寄りの画角で、カメラはやや見上げ気味にキャラの胸元から頭上の空間を捉える。背景は上部の大部分が夜空（画面左上に「夜空」指定）で占められ、画面左と右の縁に沿って遠景の街並みのシルエットが低くわずかに顔を出す程度で、中央から下は空とキャラで隠れて空間が空く。地面・室内・家具などは写らず、あくまで夜空を主体とした屋外の背景。,medium,原図に明確な描写は少なく「夜空」指定と左右縁の街並みシルエットのみが根拠で、街並みの具体形状は不確か。
274,カメラは夜空を見上げるやや上向きのアングルで、画面全体が夜の空（BG=夜空）のみで占められる。地平や建物、地面などは一切写らず、フレーム内は暗い夜空のグラデーションのみ。キャラ（佐々木の顔アップ）は手前セルで別処理されるため、背景は奥に広がる均一な夜空だけを描く。,high,原図の指定は『BG 夜空』の一点のみで、他の要素は描かれていないため夜空以外を追加しない。
275,高所からの俯瞰（ハイアングル・見下ろし）で、画面左下から右奥へ抜ける夜の裏通りを斜めに捉える。左手前に手前の建物の切妻屋根と庇、中央に二階建て家屋の陸屋根と壁面の窓、右側にトタン屋根や瓦屋根の家々が密集し、通りは画面左端を縦に走る。キャラ（佐々木たち後ろ姿）は原図の＋印より左下、通りの路面上に小さく配置され、その位置は動かさない。,high,IMAGE2のセル位置が左中央の路上にあることから通りの奥行き方向を歩く俯瞰構図と判断、空や遠景の追加は原図に無いので不可。
277,夜の市街地を高所から見下ろす俯瞰の画角。カメラは建物の屋上付近から斜め下方に向き、EYE線は画面上端寄りで強い見下ろしのパースがつく。左手前に木造家屋の屋根と外壁・軒下（Book）、中央から右奥にかけて建物に挟まれた細い路地・通りが縦に走り、右側に窓を持つ建物の壁面が連なる。路地の中央やや下（セルのキャラ配置位置）は空けた地面で、ここに人物が立つ根拠となる。,high,IMAGE2の赤枠とキャラ配置から画面中央の路地地面が芝居の場であり、そこに背景要素を描き込まないこと。
278,夜の市街地、路上を正面やや俯瞰気味に捉えた画角で、T.U.（トラックアップ＝寄り）の始点。画面右奥に縦のビル壁面（シャッターや窓が並ぶ建物の角）が立ち、そこから斜めのパース線が左手前へ流れる。路面はほぼフラットに広がり、地面には人物が立つスペースが中央〜右寄りにある（阿久津・伏売神・エリエルの立ち位置＝配置の根拠。人物は背景に描かない）。,medium,原図は線が少なく、右奥のビル角と路面・斜めパース線のみが確実な要素で、他は空間の描き込みが乏しい。
280,夜空を背景にした水平アングルのロングショットで、カメラはキャラクター群を正面からやや引いた位置で捉える。画面左には雲がかかった稜線（山の稜線状のシルエット）が中央左寄りまで伸び、画面右下にも低い雲塊が配置される。それ以外は一面の夜空で、地上の建物や外灯、路地などは写らない（キャラクターは背景に含めない）。,medium,原図は雲と稜線のみの空景で、市街地の描写は原図に存在しないため描かない。「夜空」の指示メモが右上にある。
281,夜の市街地の見晴らしのよい高所を、地平線やや上向きの水平アングルで捉えたロングショット。画面下半分は手前から奥へ緩く広がる暗い地面（開けた広場か通り）で、複数の線が奥の消失点へ収束し浅めのパースを描く。画面上半分は広い夜空で、左上に横に伸びる雲がかかる。手前左端下部にBook（提灯の連なる三角旗＝ガーランド）が小さく配置される。,medium,夜空・地面・左上の雲・左下Bookは原図で確認できるが、地面が広場か通りかは断定できず、建物や街灯など具体物は原図に描かれていないため追加しない。
282,カメラは夜の市街地上空を水平にとらえた仰角気味のショットで、画面のほぼ全域が濃紺の夜空で占められる。原図に実在する描写は、画面右上（フレーム右上寄り）に薄くたなびく雲のような淡い一本の稜線状の線のみで、地上の建物・街灯・路地は一切写らない。キャラ（虚ろな表情の二人）はこの夜空を背景に大写しで配置されるため、背景側は空以外を描き込まず、地平や構造物を足さないこと。,medium,原図の描き込みは右上の雲状の線一本のみで、指定の『夜空に微笑』とキャラ大写しから背景は夜空一色と判断した。
283,夜の細い路地を見上げるアオリ（ローアングル）の構図で、カメラは外灯を右寄りに捉えつつPAN UPする。画面右寄りに斜めに立つ外灯の支柱が下から上へ伸び、上部で左へ傾いた笠つきの灯具が黄色く灯り、その周囲に淡い光暈が広がる。画面左には遠近の斜め線（塀や建物の輪郭）が奥へ流れ、蛾は原図に実在しないため描かず、背景は無人で通行人や小物は加えない。,medium,外灯と光暈・斜線は原図に実在するが、蛾2匹はセル側要素で背景には含めない判断。
284,夜の市街地の通りを、歩くキャラの左後方やや低い位置から捉えたフォロー画角。画面右半分から中央にかけて、石ブロックを大きく積んだ塀（壁）が横方向のパースで奥へと続き、水平の目地が数段、垂直の継ぎ目が並ぶ。画面左端に縦に走る細い線（外灯の柱や電柱状の縦構造物）が数本立ち、そのすぐ右にキャラ（二人静）が縦に配置される想定で、BGは左方向へ引きながらフォローする（DG Follow・引き）。,medium,左の縦線群は柱・電柱状の構造物と解釈したが用途は原図から断定できず、蛾・外灯の光源など前カットの要素は本カットには描かれていない。
285,夜の市街地、レンガ造りの壁面を正面やや至近で捉えたフィックス気味の画角で、パースの浅い水平構図。画面右寄りにキャラが浮遊配置され背景はBG Follow（引き）でスライドする。画面左端には縦帯状のグラデーション（暗いBook＝手前の建物か柱の陰）が縦に走り、それ以外は横目地・縦目地の入ったレンガ壁が全面を覆う。,medium,壁の目地とレンガ割りは原図に実在するが、地面や空・外灯は写らずBookの正体は影帯のみで断定できない。
286,夜の狭い路地を正面やや見上げ気味に捉えた画角。画面中央から左手前に建物の壁面と窓が縦に連なり、右奥へ非常階段らしき斜めの階段（手すり・段板）が奥行きを作る。中央上寄りに「Zzz」の眠り記号の付いた丸い外灯（もしくは提灯状の灯り）が浮かぶ。人物（二人静）は画面中央にバストで立ち位置し、その頭部が外灯の手前に重なる配置。空や地平線は写らず、遠景の広がりは描かない。,medium,右奥の斜め構造物は非常階段と判断したが、線が粗く外壁の意匠の可能性も残る。
287,夜の路地を正面奥へ見通すアイレベルのカメラ。画面中央に消失点があり、左右に雑居ビルの壁面（左は看板や庇のある建物列、右は窓・ドアの並ぶ建物列）がV字に迫って一点透視の路地奥へ収束、左手前に街灯柱と低木、路面は手前に向かって下がる。人物（二人静・エリエル）は中央やや上のセル位置に立つため、その周囲を空けた奥行きのある構図を保つこと。,high,原図は背景のみで一点透視の路地奥ビュー、注記『BG路地なのでもう少しせまめ』に従い左右をやや狭める判断。
288,夜の市街地の細い路地を、頭上高くから見下ろす強めのフカン俯瞰。画面中央に奥へ延びる路地の地面が広がり、左右には夜のビルや建物の壁面が路地を挟んで手前に迫るように傾いて立ち並び、右側中景には格子状の窓（またはシャッター）が見える。空・遠景の街並み・キャラクターは背景には含まない（この画角ではほぼ路地の地面と両側の壁のみが写る）。,medium,俯瞰でビルに囲まれた路地を上から見た構図で、赤枠中央のキャラ立ち位置が地面中央であることを裏付けるが、線が粗く右側構造物の正体（窓か扉か）は不確か。
